,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,AvgShotDistance,FKShots,PK,PKsAtt,xG,npxG,npxG/Sh,G-xG,npG-xG,PassesCompleted,PassesAttempted,TotCmp%,TotalPassDist,ProgPassDist,ShortPassCmp,ShortPassAtt,ShortPassCmp%,MedPassCmp,MedPassAtt,MedPassCmp%,LongPassCmp,LongPassAtt,LongPassCmp%,Assists,xAG,xA,A-xAG,KeyPasses,Final1/3Cmp,PenAreaCmp,CrsPenAreaCmp,ProgPasses,LivePass,DeadPass,FKPasses,ThruBalls,Switches,Crs,ThrowIn,CK,InSwingCK,OutSwingCK,StrCK,Cmpxxx,PassesToOff,PassesBlocked,SCA,SCA90,SCAPassLive,SCAPassDead,SCADrib,SCASh,SCAFld,SCADef,GCA,GCA90,GCAPassLive,GCAPassDead,GCADrib,GCASh,GCAFld,GCADef,Tkl,TklWinPoss,Def3rdTkl,Mid3rdTkl,Att3rdTkl,DrbTkl,DrbPastAtt,DrbTkl%,DrbPast,Blocks,ShBlocks,PassBlocks,Int,Tkl+Int,Clr,Err,Touches,DefPenTouch,Def3rdTouch,Mid3rdTouch,Att3rdTouch,AttPenTouch,LiveTouch,AttDrb,SuccDrb,DrbSucc%,TimesTackled,TimesTackled%,Carries,TotalCarryDistance,ProgCarryDistance,ProgCarries,CarriesToFinalThird,CarriesToPenArea,CarryMistakes,Disposesed,ReceivedPass,ProgPassesRec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%,G+APer90,GlsxxPer90,GoalsPer90,ShotsPer90,SoTPer90,SoT%Per90,Sh/90Per90,SoT/90Per90,G/ShPer90,G/SoTPer90,AvgShotDistancePer90,FKShotsPer90,PKPer90,PKsAttPer90,xGPer90,npxGPer90,npxG/ShPer90,G-xGPer90,npG-xGPer90,PassesCompletedPer90,PassesAttemptedPer90,TotCmp%Per90,TotalPassDistPer90,ProgPassDistPer90,ShortPassCmpPer90,ShortPassAttPer90,ShortPassCmp%Per90,MedPassCmpPer90,MedPassAttPer90,MedPassCmp%Per90,LongPassCmpPer90,LongPassAttPer90,LongPassCmp%Per90,AssistsPer90,xAGPer90,xAPer90,A-xAGPer90,KeyPassesPer90,Final1/3CmpPer90,PenAreaCmpPer90,CrsPenAreaCmpPer90,ProgPassesPer90,LivePassPer90,DeadPassPer90,FKPassesPer90,ThruBallsPer90,SwitchesPer90,CrsPer90,ThrowInPer90,CKPer90,InSwingCKPer90,OutSwingCKPer90,StrCKPer90,CmpxxxPer90,PassesToOffPer90,PassesBlockedPer90,SCAPer90,SCA90Per90,SCAPassLivePer90,SCAPassDeadPer90,SCADribPer90,SCAShPer90,SCAFldPer90,SCADefPer90,GCAPer90,GCA90Per90,GCAPassLivePer90,GCAPassDeadPer90,GCADribPer90,GCAShPer90,GCAFldPer90,GCADefPer90,TklPer90,TklWinPossPer90,Def3rdTklPer90,Mid3rdTklPer90,Att3rdTklPer90,DrbTklPer90,DrbPastAttPer90,DrbTkl%Per90,DrbPastPer90,BlocksPer90,ShBlocksPer90,PassBlocksPer90,IntPer90,Tkl+IntPer90,ClrPer90,ErrPer90,TouchesPer90,DefPenTouchPer90,Def3rdTouchPer90,Mid3rdTouchPer90,Att3rdTouchPer90,AttPenTouchPer90,LiveTouchPer90,AttDrbPer90,SuccDrbPer90,DrbSucc%Per90,TimesTackledPer90,TimesTackled%Per90,CarriesPer90,TotalCarryDistancePer90,ProgCarryDistancePer90,ProgCarriesPer90,CarriesToFinalThirdPer90,CarriesToPenAreaPer90,CarryMistakesPer90,DisposesedPer90,ReceivedPassPer90,ProgPassesRecPer90,YellowsPer90,RedsPer90,Yellow2Per90,FlsPer90,FldPer90,OffPer90,PKwonPer90,PKconPer90,OGPer90,RecovPer90,AerialWinsPer90,AerialLossPer90,AerialWin%Per90,90sPer90,AvgTeamPoss,OppTouches,TeamMins,TeamTouches90,pAdjTkl+IntPer90,pAdjClrPer90,pAdjShBlocksPer90,pAdjPassBlocksPer90,pAdjIntPer90,pAdjDrbTklPer90,pAdjTklWinPossPer90,pAdjDrbPastPer90,pAdjAerialWinsPer90,pAdjAerialLossPer90,pAdjDrbPastAttPer90,TouchCentrality,Tkl+IntPer600OppTouch,pAdjTouchesPer90,CarriesPer50Touches,ProgCarriesPer50Touches,ProgPassesPer50CmpPasses,Main Position
627,640,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,28,1995,3,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,61.5,128.0,55.0,3.0,3.0,100.0,5.0,7.0,71.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,2.0,9.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,114.0,69.0,2.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,46.8,221.4,460.8,198.0,10.8,10.8,360.0,18.0,25.2,257.04,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,39.6,7.2,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,0.0,28.8,0.0,3.6,3.6,12.96,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,54.0,3.6,7.2,32.4,14.4,0.0,54.0,0.0,0.0,0.0,0.0,0.0,36.0,410.4,248.4,7.2,10.8,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28,41.4,11273.0,1440.0,530.31,0.0,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18,0.0,65.22,33.33,6.67,6.25,Left-Back
628,641,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,es La Liga,21,2002,13,9,749.0,0.0,0.0,0.0,6.0,1.0,16.7,0.72,0.12,0.0,0.0,27.8,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,507.0,565.0,89.7,8142.0,2175.0,253.0,270.0,93.7,202.0,221.0,91.4,35.0,47.0,74.5,0.0,0.4,0.7,-0.4,11.0,44.0,4.0,3.0,47.0,536.0,27.0,13.0,2.0,5.0,4.0,14.0,0.0,0.0,0.0,0.0,507.0,2.0,5.0,31.0,3.72,23.0,0.0,1.0,1.0,3.0,3.0,3.0,0.36,3.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,15.0,14.0,3.0,11.0,19.0,57.9,8.0,14.0,2.0,12.0,14.0,46.0,10.0,0.0,680.0,20.0,169.0,378.0,144.0,7.0,680.0,28.0,15.0,53.6,7.0,25.0,466.0,2615.0,1431.0,25.0,27.0,3.0,12.0,13.0,491.0,16.0,3.0,0.0,0.0,22.0,23.0,0.0,0.0,0.0,0.0,66.0,4.0,5.0,44.4,0.0,0.0,0.0,0.72,0.12,2.01,0.09,0.01,0.0,0.0,3.34,0.0,0.0,0.0,0.04,0.04,0.01,-0.04,-0.04,60.92,67.89,10.78,978.34,261.35,30.4,32.44,11.26,24.27,26.56,10.98,4.21,5.65,8.95,0.0,0.05,0.08,-0.05,1.32,5.29,0.48,0.36,5.65,64.41,3.24,1.56,0.24,0.6,0.48,1.68,0.0,0.0,0.0,0.0,60.92,0.24,0.6,3.72,0.45,2.76,0.0,0.12,0.12,0.36,0.36,0.36,0.04,0.36,0.0,0.0,0.0,0.0,0.0,3.85,2.28,1.8,1.68,0.36,1.32,2.28,6.96,0.96,1.68,0.24,1.44,1.68,5.53,1.2,0.0,81.71,2.4,20.31,45.42,17.3,0.84,81.71,3.36,1.8,6.44,0.84,3.0,55.99,314.22,171.95,3.0,3.24,0.36,1.44,1.56,59.0,1.92,0.36,0.0,0.0,2.64,2.76,0.0,0.0,0.0,0.0,66.0,4.0,5.0,44.4,8.32,58.9,9634.0,1530.0,757.41,6.72,1.46,0.29,1.75,2.05,1.61,1.61,1.17,4.87,6.08,2.78,10.79,5.85,69.36,34.26,1.84,4.64,Central Midfield
629,642,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,fr Ligue 1,30,1993,12,6,510.0,0.0,0.0,0.0,6.0,1.0,16.7,1.06,0.18,0.0,0.0,14.7,0.0,0.0,0.0,0.8,0.8,0.14,-0.8,-0.8,117.0,156.0,75.0,1506.0,337.0,78.0,92.0,84.8,30.0,39.0,76.9,2.0,9.0,22.2,0.0,0.9,0.4,-0.9,9.0,5.0,2.0,0.0,8.0,151.0,5.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,117.0,0.0,9.0,12.0,2.12,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,1.0,9.0,2.0,4.0,11.0,36.4,7.0,13.0,1.0,12.0,3.0,15.0,5.0,0.0,226.0,5.0,28.0,110.0,91.0,22.0,226.0,18.0,6.0,33.3,12.0,66.7,165.0,1062.0,287.0,9.0,7.0,4.0,10.0,7.0,150.0,37.0,2.0,0.0,0.0,15.0,12.0,2.0,0.0,0.0,0.0,27.0,11.0,6.0,64.7,0.0,0.0,0.0,1.06,0.18,2.95,0.19,0.03,0.0,0.0,2.59,0.0,0.0,0.0,0.14,0.14,0.02,-0.14,-0.14,20.65,27.53,13.24,265.76,59.47,13.76,16.24,14.96,5.29,6.88,13.57,0.35,1.59,3.92,0.0,0.16,0.07,-0.16,1.59,0.88,0.35,0.0,1.41,26.65,0.88,0.53,0.0,0.0,1.41,0.35,0.0,0.0,0.0,0.0,20.65,0.0,1.59,2.12,0.37,1.94,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,1.59,0.18,1.59,0.35,0.71,1.94,6.42,1.24,2.29,0.18,2.12,0.53,2.65,0.88,0.0,39.88,0.88,4.94,19.41,16.06,3.88,39.88,3.18,1.06,5.88,2.12,11.77,29.12,187.41,50.65,1.59,1.24,0.71,1.76,1.24,26.47,6.53,0.35,0.0,0.0,2.65,2.12,2.0,0.0,0.0,0.0,27.0,11.0,6.0,64.7,5.67,50.9,9830.0,1440.0,631.06,2.7,0.9,0.18,2.16,0.54,0.72,0.72,1.26,11.2,6.11,1.98,6.32,2.59,39.18,36.5,1.99,3.42,Left Winger
630,643,Eldor Shomurodov,uz UZB,"FW,MF",Cagliari,it Serie A,28,1995,11,2,319.0,2.0,0.0,0.0,4.0,0.0,0.0,1.13,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,72.0,96.0,75.0,1015.0,242.0,43.0,55.0,78.2,24.0,27.0,88.9,3.0,7.0,42.9,2.0,1.0,0.6,1.0,7.0,7.0,3.0,1.0,10.0,89.0,7.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,12.0,3.4,11.0,0.0,1.0,0.0,0.0,0.0,3.0,0.85,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,5.0,40.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,134.0,0.0,10.0,57.0,70.0,15.0,134.0,10.0,3.0,30.0,7.0,70.0,82.0,492.0,163.0,6.0,7.0,3.0,16.0,4.0,103.0,22.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,13.0,8.0,13.0,38.1,0.56,0.0,0.0,1.13,0.0,0.0,0.32,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.06,0.06,0.02,-0.06,-0.06,20.31,27.08,21.16,286.36,68.28,12.13,15.52,22.06,6.77,7.62,25.08,0.85,1.97,12.1,0.56,0.28,0.17,0.28,1.97,1.97,0.85,0.28,2.82,25.11,1.97,0.0,0.28,0.0,0.85,0.56,0.0,0.0,0.0,0.0,20.31,0.0,0.28,3.39,0.96,3.1,0.0,0.28,0.0,0.0,0.0,0.85,0.24,0.56,0.0,0.28,0.0,0.0,0.0,0.56,0.28,0.0,0.28,0.28,0.56,1.41,11.29,0.85,0.28,0.0,0.28,0.28,0.85,0.0,0.0,37.81,0.0,2.82,16.08,19.75,4.23,37.81,2.82,0.85,8.46,1.97,19.75,23.13,138.81,45.99,1.69,1.97,0.85,4.51,1.13,29.06,6.21,0.0,0.0,0.0,1.13,1.13,0.0,0.0,0.0,0.0,13.0,8.0,13.0,38.1,3.54,43.1,10462.0,1440.0,506.19,0.74,0.0,0.0,0.25,0.25,0.5,0.5,0.74,7.03,11.42,1.24,7.47,0.78,43.86,30.6,2.24,6.94,Centre-Forward
632,645,Elia Caprile,it ITA,GK,Empoli,it Serie A,22,2001,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,41.0,58.5,812.0,542.0,0.0,0.0,0.0,10.0,10.0,100.0,14.0,31.0,45.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,44.0,30.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,26.0,152.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,41.0,58.5,812.0,542.0,0.0,0.0,0.0,10.0,10.0,100.0,14.0,31.0,45.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,44.0,30.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,26.0,152.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,45.0,10082.0,1440.0,533.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,0.0,48.89,29.55,0.0,0.0,Goalkeeper
634,647,Eliesse Ben Seghir,fr FRA,"MF,DF",Monaco,fr Ligue 1,18,2005,2,0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,2.65,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,18.0,21.0,85.7,275.0,48.0,12.0,13.0,92.3,5.0,5.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,20.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,2.0,5.29,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,2.0,13.0,12.0,1.0,25.0,3.0,1.0,33.3,1.0,33.3,21.0,137.0,65.0,3.0,3.0,0.0,0.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,0.0,7.01,0.0,0.0,0.0,38.38,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,47.65,55.59,226.85,727.94,127.06,31.76,34.41,244.32,13.24,13.24,264.71,2.65,5.29,132.35,0.0,0.0,0.0,0.0,0.0,5.29,0.0,0.0,2.65,52.94,2.65,0.0,0.0,0.0,5.29,2.65,0.0,0.0,0.0,0.0,47.65,0.0,2.65,5.29,14.0,2.65,0.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.65,0.0,0.0,0.0,0.0,66.18,0.0,5.29,34.41,31.76,2.65,66.18,7.94,2.65,88.15,2.65,88.15,55.59,362.65,172.06,7.94,7.94,0.0,0.0,0.0,50.29,7.94,0.0,0.0,0.0,0.0,7.94,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.38,55.5,8935.0,1440.0,669.62,0.0,0.0,0.0,2.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.88,0.0,59.62,42.0,6.0,2.78,Attacking Midfield
635,648,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,24,1999,11,4,339.0,2.0,0.53,2.0,6.0,6.0,100.0,1.59,1.59,0.33,0.33,19.1,0.0,0.0,0.0,0.5,0.5,0.08,1.5,1.5,167.0,191.0,87.4,2276.0,469.0,116.0,122.0,95.1,39.0,48.0,81.3,7.0,10.0,70.0,0.0,0.2,0.3,-0.2,6.0,14.0,1.0,0.0,16.0,183.0,7.0,1.0,0.0,0.0,6.0,3.0,3.0,0.0,1.0,0.0,167.0,1.0,4.0,9.0,2.4,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,2.0,2.0,6.0,8.0,0.0,240.0,7.0,27.0,107.0,111.0,12.0,240.0,13.0,6.0,46.2,7.0,53.8,140.0,1045.0,623.0,14.0,13.0,4.0,9.0,7.0,181.0,26.0,2.0,0.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,19.0,1.0,6.0,14.3,0.53,0.14,0.53,1.59,1.59,26.55,0.42,0.42,0.09,0.09,5.07,0.0,0.0,0.0,0.13,0.13,0.02,0.4,0.4,44.34,50.71,23.2,604.25,124.51,30.8,32.39,25.25,10.35,12.74,21.58,1.86,2.65,18.58,0.0,0.05,0.08,-0.05,1.59,3.72,0.27,0.0,4.25,48.58,1.86,0.27,0.0,0.0,1.59,0.8,0.8,0.0,0.27,0.0,44.34,0.27,1.06,2.39,0.64,1.86,0.0,0.27,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.8,0.27,0.8,0.0,0.53,0.53,26.55,0.0,0.53,0.0,0.53,0.53,1.59,2.12,0.0,63.72,1.86,7.17,28.41,29.47,3.19,63.72,3.45,1.59,12.27,1.86,14.28,37.17,277.43,165.4,3.72,3.45,1.06,2.39,1.86,48.05,6.9,0.53,0.0,0.0,1.86,1.59,1.0,0.0,0.0,0.0,19.0,1.0,6.0,14.3,3.77,59.4,8249.0,1440.0,693.62,1.96,2.62,0.0,0.65,0.65,0.65,0.65,0.0,1.23,7.39,0.65,9.19,1.85,53.63,29.17,2.92,4.79,Attacking Midfield
636,649,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,16,6,586.0,4.0,0.61,4.0,11.0,4.0,36.4,1.69,0.61,0.36,1.0,9.8,0.0,0.0,0.0,1.9,1.9,0.17,2.1,2.1,66.0,99.0,66.7,869.0,206.0,45.0,60.0,75.0,18.0,28.0,64.3,2.0,4.0,50.0,0.0,0.3,0.2,-0.3,7.0,3.0,2.0,0.0,11.0,99.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,4.0,11.0,1.69,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,6.0,4.0,5.0,10.0,0.0,209.0,9.0,28.0,84.0,99.0,33.0,209.0,25.0,5.0,20.0,19.0,76.0,107.0,521.0,133.0,5.0,6.0,4.0,30.0,9.0,137.0,37.0,1.0,0.0,0.0,13.0,5.0,8.0,0.0,0.0,0.0,17.0,19.0,24.0,44.2,0.61,0.09,0.61,1.69,0.61,5.59,0.26,0.09,0.06,0.15,1.51,0.0,0.0,0.0,0.29,0.29,0.03,0.32,0.32,10.14,15.2,10.24,133.46,31.64,6.91,9.22,11.52,2.76,4.3,9.88,0.31,0.61,7.68,0.0,0.05,0.03,-0.05,1.08,0.46,0.31,0.0,1.69,15.2,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,10.14,0.0,0.61,1.69,0.26,1.38,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.46,0.0,0.46,0.92,0.0,0.92,0.61,0.77,1.54,0.0,32.1,1.38,4.3,12.9,15.2,5.07,32.1,3.84,0.77,3.07,2.92,11.67,16.43,80.02,20.43,0.77,0.92,0.61,4.61,1.38,21.04,5.68,0.15,0.0,0.0,2.0,0.77,8.0,0.0,0.0,0.0,17.0,19.0,24.0,44.2,6.51,35.9,11897.0,1498.0,452.11,0.6,1.2,0.0,0.72,0.48,0.0,0.0,0.36,14.82,18.72,0.36,7.1,0.64,44.71,25.6,1.2,8.33,Centre-Forward
637,650,Eliot Matazo,be BEL,MF,Monaco,fr Ligue 1,21,2002,6,0,102.0,1.0,0.0,0.0,1.0,1.0,100.0,0.88,0.88,0.0,0.0,22.6,0.0,0.0,0.0,0.1,0.1,0.08,-0.1,-0.1,50.0,63.0,79.4,817.0,348.0,24.0,28.0,85.7,19.0,26.0,73.1,5.0,7.0,71.4,1.0,1.0,0.7,0.0,2.0,5.0,1.0,0.0,10.0,61.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2.0,1.78,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,2.0,4.0,50.0,2.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,76.0,3.0,20.0,41.0,17.0,1.0,76.0,3.0,2.0,66.7,1.0,33.3,50.0,273.0,129.0,2.0,4.0,1.0,2.0,1.0,41.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,80.0,0.88,0.0,0.0,0.88,0.88,88.24,0.78,0.78,0.0,0.0,19.94,0.0,0.0,0.0,0.09,0.09,0.07,-0.09,-0.09,44.12,55.59,70.06,720.88,307.06,21.18,24.71,75.62,16.76,22.94,64.5,4.41,6.18,63.0,0.88,0.88,0.62,0.0,1.76,4.41,0.88,0.0,8.82,53.82,1.76,0.88,0.0,0.88,0.88,0.88,0.0,0.0,0.0,0.0,44.12,0.0,0.0,1.76,1.57,1.76,0.0,0.0,0.0,0.0,0.0,0.88,0.79,0.88,0.0,0.0,0.0,0.0,0.0,2.65,0.88,0.0,2.65,0.0,1.76,3.53,44.12,1.76,0.88,0.88,0.0,2.65,5.29,0.0,0.0,67.06,2.65,17.65,36.18,15.0,0.88,67.06,2.65,1.76,58.85,0.88,29.38,44.12,240.88,113.82,1.76,3.53,0.88,1.76,0.88,36.18,1.76,1.76,0.0,0.0,4.41,0.88,0.0,0.0,0.0,0.0,12.0,4.0,1.0,80.0,1.13,55.5,8935.0,1440.0,669.62,5.95,0.0,0.99,0.0,2.97,1.98,1.98,1.98,4.49,1.12,3.97,10.01,5.69,60.41,32.89,1.32,10.0,Central Midfield
638,651,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,21,2002,9,4,411.0,1.0,0.0,0.0,7.0,2.0,28.6,1.53,0.44,0.0,0.0,14.0,0.0,0.0,0.0,0.7,0.7,0.1,-0.7,-0.7,148.0,178.0,83.1,2060.0,428.0,98.0,113.0,86.7,40.0,42.0,95.2,5.0,11.0,45.5,1.0,0.9,0.3,0.1,6.0,12.0,8.0,0.0,26.0,175.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,148.0,0.0,3.0,14.0,3.07,13.0,0.0,1.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,4.0,1.0,3.0,9.0,33.3,6.0,6.0,3.0,3.0,2.0,10.0,6.0,0.0,244.0,7.0,34.0,117.0,100.0,17.0,244.0,17.0,8.0,47.1,7.0,41.2,150.0,925.0,436.0,14.0,11.0,2.0,15.0,10.0,176.0,33.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,18.0,6.0,4.0,60.0,0.22,0.0,0.0,1.53,0.44,6.26,0.34,0.1,0.0,0.0,3.07,0.0,0.0,0.0,0.15,0.15,0.02,-0.15,-0.15,32.41,38.98,18.2,451.09,93.72,21.46,24.74,18.99,8.76,9.2,20.85,1.09,2.41,9.96,0.22,0.2,0.07,0.02,1.31,2.63,1.75,0.0,5.69,38.32,0.66,0.22,0.0,0.22,0.66,0.44,0.0,0.0,0.0,0.0,32.41,0.0,0.66,3.07,0.67,2.85,0.0,0.22,0.0,0.0,0.0,0.22,0.05,0.22,0.0,0.0,0.0,0.0,0.0,1.75,1.31,0.66,0.88,0.22,0.66,1.97,7.29,1.31,1.31,0.66,0.66,0.44,2.19,1.31,0.0,53.43,1.53,7.45,25.62,21.9,3.72,53.43,3.72,1.75,10.31,1.53,9.02,32.85,202.55,95.47,3.07,2.41,0.44,3.28,2.19,38.54,7.23,0.0,0.0,0.0,1.31,1.53,0.0,0.0,0.0,0.0,18.0,6.0,4.0,60.0,4.57,54.4,9733.0,1530.0,658.65,2.4,1.44,0.72,0.72,0.48,0.72,0.72,1.44,6.58,4.39,2.16,8.11,2.29,49.11,30.74,2.87,8.78,Attacking Midfield
